Gene1,Gene2
ABCC3,PPFIA4
ABCC3,PTX3
ABCC3,PVRL2
ABCC3,RAB44
ABCC3,RAPGEFL1
ABCC3,RBMS3
ABCC3,RCVRN
ABCC3,RNF215
ABCC3,RTN4RL1
ABCC3,SEMA3C
ABCC3,SEZ6
ABCC3,SIGLEC15
ABCC3,SLC1A3
ABCC3,SLC32A1
ABCC3,SLC46A2
ABCC3,SLC4A3
ABCC3,SLC6A9
ABCC3,SOGA2
ABCC3,STRIP2
ABCC3,STX16-NPEPL1
ABCC3,TAC3
ABCC3,TIGD4
ABCC3,TNS3
ABCC3,UCN
ABCC3,VASN
ABCC3,VEPH1
ABCC3,VNN3
ACTG2,AQP10
ACTG2,ARID3A
ACTG2,ASIP
ACTG2,C15orf38
ACTG2,C1orf111
ACTG2,C2orf48
ACTG2,CCDC149
ACTG2,CCDC170
ACTG2,CD36
ACTG2,CYP3A5
ACTG2,DLG5
ACTG2,DOCK1
ACTG2,FRMD3
ACTG2,GRIN2C
ACTG2,HBA1
ACTG2,HBD
ACTG2,HBG1
ACTG2,HBG2
ACTG2,LRRC37A3
ACTG2,LRRC3DN
ACTG2,M1AP
ACTG2,MFAP3L
ACTG2,MMP14
ACTG2,MMP9
ACTG2,MPRIP-AS1
ACTG2,NODAL
ACTG2,NRG1
ACTG2,PADI2
ACTG2,PAH
ACTG2,PARD3
ACTG2,PF4V1
ACTG2,PPFIA4
ACTG2,PTGR1
ACTG2,PVRL2
ACTG2,RNF215
ACTG2,S1PR3
ACTG2,SEMA3C
ACTG2,SEZ6
ACTG2,SIGLEC15
ACTG2,SLC46A2
ACTG2,SYCE3
ACTG2,VEPH1
ACTG2,WLS
AK4,AQP1
AK4,AQP10
AK4,BBS5
AK4,BCAS1
AK4,C15orf26
AK4,C15orf38
AK4,C1orf111
AK4,C1orf115
AK4,C22orf43
AK4,C2orf48
AK4,CCDC149
AK4,CD36
AK4,CKM
AK4,CLDN23
AK4,CTB-61M7.2
AK4,CYP1B1-AS1
AK4,CYP27A1
AK4,CYP3A5
AK4,DLG5
AK4,DNAH12
AK4,DNAH7
AK4,DNAJB13
AK4,DNAJC28
AK4,DNTT
AK4,DOCK1
AK4,DOCK5
AK4,ECM1
AK4,EGFL7
AK4,EPHB1
AK4,EPHB2
AK4,EPHB4
AK4,ESPL1
AK4,EVC2
AK4,FAM212B-AS1
AK4,FBN1
AK4,FCAR
AK4,FKBP9
AK4,FXYD6
AK4,GPR63
AK4,GRIK4
AK4,GRIN2C
AK4,HBD
AK4,HCAR1
AK4,HCG20
AK4,HHIP-AS1
AK4,HSPG2
AK4,IL27
AK4,IQCD
AK4,IQSEC2
AK4,JADE3
AK4,KIAA1257
AK4,KLHL14
AK4,KRT5
AK4,LIF
AK4,LINC00610
AK4,LINC00937
AK4,LINC01036
AK4,LONRF2
AK4,LRFN4
AK4,LRRC37A3
AK4,LRRC3DN
AK4,LRRC48
AK4,LURAP1
AK4,MAK
AK4,MAPK8IP2
AK4,MFAP3L
AK4,MMP14
AK4,MMP9
AK4,MPPED2
AK4,MPRIP-AS1
AK4,MYO7A
AK4,NCS1
AK4,NEURL1B
AK4,NLGN3
AK4,NODAL
AK4,NPIPA7
AK4,NRG1
AK4,OXER1
AK4,PADI2
AK4,PAH
AK4,PCDH1
AK4,PDZD2
AK4,PF4V1
AK4,PKD1L1
AK4,PNMT
AK4,PPFIA4
AK4,PRKAR2B
AK4,PRKCDBP
AK4,PTGR1
AK4,PTX3
AK4,PVRL2
AK4,RAB26
AK4,RAB44
AK4,RAPGEFL1
AK4,RBMS3
AK4,RBPMS2
AK4,RCVRN
AK4,RNF215
AK4,RTN4RL1
AK4,RUVBL1-AS1
AK4,S1PR3
AK4,SELP
AK4,SEMA3C
AK4,SERINC4
AK4,SEZ6
AK4,SGMS2
AK4,SIGLEC12
AK4,SIGLEC15
AK4,SLC1A3
AK4,SLC32A1
AK4,SLC46A2
AK4,SLC4A3
AK4,SLC6A8
AK4,SLC6A9
AK4,SLCO5A1
AK4,SOGA2
AK4,STRIP2
AK4,STX16-NPEPL1
AK4,SYCE3
AK4,TAC3
AK4,TIGD4
AK4,TMPRSS13
AK4,TNS3
AK4,TPD52L1
AK4,TRIM74
AK4,UCN
AK4,VASN
AK4,VEPH1
AK4,VIT
AK4,VNN3
ALDH1A1,CYP3A5
ALDH1A1,VEPH1
ALOX12,CCDC170
ALOX12,HBA1
ALOX12,HBD
ALOX12,HBG1
ALOX12,HBG2
APLP2,CCDC170
AQP1,AQP10
AQP1,ARHGAP18
AQP1,ARHGEF10L
AQP1,ARHGEF28
AQP1,ASMT
AQP1,BBS5
AQP1,BCAS1
AQP1,C10orf11
AQP1,C15orf26
AQP1,C15orf38
AQP1,C17orf96
AQP1,C1orf111
AQP1,C1orf115
AQP1,C22orf43
AQP1,CD36
AQP1,CKM
AQP1,CLCN4
AQP1,CLDN23
AQP1,CRB2
AQP1,CTB-61M7.2
AQP1,CYP1B1-AS1
AQP1,CYP27A1
AQP1,CYP3A5
AQP1,DLG5
AQP1,DNAH7
AQP1,DNAJB13
AQP1,DNAJC28
AQP1,DNTT
AQP1,ECM1
AQP1,EPHB1
AQP1,EPHB4
AQP1,ESPL1
AQP1,EVC2
AQP1,FBN1
AQP1,FCAR
AQP1,FKBP9
AQP1,GPR63
AQP1,GRIK4
AQP1,GRIN2C
AQP1,HCAR1
AQP1,HCG20
AQP1,HCN3
AQP1,HHIP-AS1
AQP1,HSPG2
AQP1,IL17A
AQP1,IL27
AQP1,IQCD
AQP1,IQSEC2
AQP1,JADE3
AQP1,KCNE3
AQP1,KCTD19
AQP1,KIAA1257
AQP1,KLHL14
AQP1,KRT5
AQP1,LDHC
AQP1,LIF
AQP1,LILRB5
AQP1,LINC00610
AQP1,LINC00937
AQP1,LINC01036
AQP1,LONRF2
AQP1,LRFN4
AQP1,LRRC37A3
AQP1,LRRC3DN
AQP1,LURAP1
AQP1,MAK
AQP1,MMP14
AQP1,MPPED2
AQP1,MPRIP-AS1
AQP1,MYO7A
AQP1,NCS1
AQP1,NKD2
AQP1,NLGN3
AQP1,NODAL
AQP1,NPIPA7
AQP1,NRG1
AQP1,NXN
AQP1,OXER1
AQP1,PAH
AQP1,PCDH1
AQP1,PKD1L1
AQP1,PNMT
AQP1,PPFIA4
AQP1,PRKAR2B
AQP1,PRKCDBP
AQP1,PTGR1
AQP1,PTX3
AQP1,PVRL2
AQP1,RAB26
AQP1,RAB44
AQP1,RAPGEFL1
AQP1,RBMS3
AQP1,RCVRN
AQP1,RNF215
AQP1,RTN4RL1
AQP1,RUVBL1-AS1
AQP1,SAT1
AQP1,SELP
AQP1,SEMA3C
AQP1,SERINC4
AQP1,SEZ6
AQP1,SHROOM1
AQP1,SIGLEC15
AQP1,SLC11A1
AQP1,SLC1A3
AQP1,SLC22A16
AQP1,SLC25A35
AQP1,SLC32A1
AQP1,SLC43A2
AQP1,SLC46A2
AQP1,SLC4A3
AQP1,SLC6A8
AQP1,SLC6A9
AQP1,SLCO5A1
AQP1,SOGA2
AQP1,STRIP2
AQP1,STX16-NPEPL1
AQP1,TAC3
AQP1,TIGD4
AQP1,TMPRSS13
AQP1,TNS3
AQP1,TPD52L1
AQP1,TRIM74
AQP1,UCN
AQP1,VASN
AQP1,VEPH1
AQP1,VIT
AQP1,VNN3
AQP10,BBS5
AQP10,BCAS1
AQP10,C15orf26
AQP10,C15orf38
AQP10,C1orf111
AQP10,C1orf115
AQP10,C22orf43
AQP10,CKM
AQP10,CLDN23
AQP10,CTB-61M7.2
AQP10,CYP1B1-AS1
AQP10,CYP27A1
AQP10,CYP3A5
AQP10,DLG5
AQP10,DNAH7
AQP10,DNAJB13
AQP10,DNAJC28
AQP10,DNTT
AQP10,ECM1
AQP10,ESPL1
AQP10,EVC2
AQP10,FBN1
AQP10,FCAR
AQP10,FKBP9
AQP10,GRIK4
AQP10,GRIN2C
AQP10,HCAR1
AQP10,HCG20
AQP10,HHIP-AS1
AQP10,HSPG2
AQP10,IL27
AQP10,IQCD
AQP10,KCTD19
AQP10,KLHL14
AQP10,KRT5
AQP10,LIF
AQP10,LONRF2
AQP10,LRFN4
AQP10,LRRC3DN
AQP10,LURAP1
AQP10,MAK
AQP10,MPPED2
AQP10,MPRIP-AS1
AQP10,MYO7A
AQP10,NCS1
AQP10,NLGN3
AQP10,NODAL
AQP10,NRG1
AQP10,OXER1
AQP10,PAH
AQP10,PKD1L1
AQP10,PPFIA4
AQP10,PRKCDBP
AQP10,PTGR1
AQP10,PTX3
AQP10,PVRL2
AQP10,RAB44
AQP10,RAPGEFL1
AQP10,RBMS3
AQP10,RCVRN
AQP10,RNF215
AQP10,RTN4RL1
AQP10,SEMA3C
AQP10,SEZ6
AQP10,SIGLEC15
AQP10,SLC1A3
AQP10,SLC32A1
AQP10,SLC46A2
AQP10,SLC4A3
AQP10,SLC6A8
AQP10,SLC6A9
AQP10,SOGA2
AQP10,STRIP2
AQP10,STX16-NPEPL1
AQP10,TAC3
AQP10,TIGD4
AQP10,TNS3
AQP10,TPD52L1
AQP10,UCN
AQP10,VASN
AQP10,VEPH1
AQP10,VNN3
ARHGEF10L,BBS5
ARHGEF10L,BCAS1
ARHGEF10L,CYP3A5
ARHGEF10L,DNTT
ARHGEF10L,OXER1
ARHGEF10L,UCN
ARHGEF10L,VEPH1
ARHGEF10L,VNN3
ARHGEF28,CYP3A5
ASMT,BBS5
ASMT,BCAS1
ASMT,C10orf11
ASMT,C15orf26
ASMT,C15orf38
ASMT,C17orf96
ASMT,C1orf111
ASMT,C1orf115
ASMT,C22orf43
ASMT,C2orf48
ASMT,CD36
ASMT,CKM
ASMT,CLCN4
ASMT,CLDN23
ASMT,CTB-61M7.2
ASMT,CTRC
ASMT,CYP1B1-AS1
ASMT,CYP27A1
ASMT,CYP3A5
ASMT,DLG5
ASMT,DNAH7
ASMT,DNAJB13
ASMT,DNAJC28
ASMT,DNTT
ASMT,ECM1
ASMT,EPHB1
ASMT,EPHB4
ASMT,ESPL1
ASMT,EVC2
ASMT,FBN1
ASMT,FCAR
ASMT,FKBP9
ASMT,GPR63
ASMT,GRIK4
ASMT,GRIN2C
ASMT,HCAR1
ASMT,HCG20
ASMT,HCN3
ASMT,HHIP-AS1
ASMT,HSPG2
ASMT,IL27
ASMT,IQCD
ASMT,IQSEC2
ASMT,JADE3
ASMT,KCNE3
ASMT,KCTD19
ASMT,KIAA1257
ASMT,KLHL14
ASMT,KRT5
ASMT,LIF
ASMT,LILRB5
ASMT,LINC00610
ASMT,LINC00937
ASMT,LINC01036
ASMT,LONRF2
ASMT,LRFN4
ASMT,LRRC37A3
ASMT,LRRC3DN
ASMT,LURAP1
ASMT,MAK
ASMT,MMP14
ASMT,MMP9
ASMT,MPPED2
ASMT,MPRIP-AS1
ASMT,MYO7A
ASMT,NCS1
ASMT,NLGN3
ASMT,NODAL
ASMT,NPIPA7
ASMT,NRG1
ASMT,NXN
ASMT,OXER1
ASMT,PADI2
ASMT,PAH
ASMT,PCDH1
ASMT,PDZD2
ASMT,PKD1L1
ASMT,PNMT
ASMT,PPFIA4
ASMT,PRKAR2B
ASMT,PRKCDBP
ASMT,PTGR1
ASMT,PTX3
ASMT,PVRL2
ASMT,RAB26
ASMT,RAB44
ASMT,RAPGEFL1
ASMT,RBMS3
ASMT,RCVRN
ASMT,RNF215
ASMT,RTN4RL1
ASMT,RUVBL1-AS1
ASMT,SAT1
ASMT,SELP
ASMT,SEMA3C
ASMT,SERINC4
ASMT,SEZ6
ASMT,SHROOM1
ASMT,SIGLEC15
ASMT,SLC11A1
ASMT,SLC1A3
ASMT,SLC22A16
ASMT,SLC25A35
ASMT,SLC32A1
ASMT,SLC46A2
ASMT,SLC4A3
ASMT,SLC6A8
ASMT,SLC6A9
ASMT,SLCO5A1
ASMT,SOGA2
ASMT,STRIP2
ASMT,STX16-NPEPL1
ASMT,TAC3
ASMT,TIGD4
ASMT,TMPRSS13
ASMT,TNS3
ASMT,TPD52L1
ASMT,TRIM74
ASMT,UCN
ASMT,VASN
ASMT,VEPH1
ASMT,VIT
ASMT,VNN3
AURKC,CCDC149
AURKC,CCDC170
AURKC,HBA1
AURKC,HBD
AURKC,HBG1
AURKC,HBG2
AURKC,M1AP
AURKC,PARD3
AZU1,CCDC149
AZU1,CCDC170
AZU1,FRMD3
AZU1,HBA1
AZU1,HBD
AZU1,HBG1
AZU1,HBG2
AZU1,M1AP
AZU1,WLS
BBS5,BCAS1
BBS5,C10orf11
BBS5,C15orf26
BBS5,C15orf38
BBS5,C17orf96
BBS5,C1orf111
BBS5,C1orf115
BBS5,C22orf43
BBS5,C2orf48
BBS5,CD36
BBS5,CKM
BBS5,CLCN4
BBS5,CLDN23
BBS5,CRB2
BBS5,CTB-61M7.2
BBS5,CTRC
BBS5,CYP1B1-AS1
BBS5,CYP27A1
BBS5,CYP3A5
BBS5,DLG5
BBS5,DNAH7
BBS5,DNAJB13
BBS5,DNAJC28
BBS5,DNTT
BBS5,ECM1
BBS5,EPHB1
BBS5,EPHB4
BBS5,ESPL1
BBS5,EVC2
BBS5,FBN1
BBS5,FCAR
BBS5,FKBP9
BBS5,FXYD6
BBS5,GPR133
BBS5,GPR63
BBS5,GPX1
BBS5,GRIK4
BBS5,GRIN2C
BBS5,HCAR1
BBS5,HCG20
BBS5,HCG25
BBS5,HCN3
BBS5,HHIP-AS1
BBS5,HSPG2
BBS5,IL17A
BBS5,IL27
BBS5,IQCD
BBS5,IQSEC2
BBS5,JADE3
BBS5,KCNE3
BBS5,KCTD19
BBS5,KIAA1257
BBS5,KLHL14
BBS5,KRT5
BBS5,LDHC
BBS5,LIF
BBS5,LILRB5
BBS5,LINC00610
BBS5,LINC00671
BBS5,LINC00937
BBS5,LINC01036
BBS5,LONRF2
BBS5,LRFN4
BBS5,LRRC3DN
BBS5,LRRC48
BBS5,LURAP1
BBS5,MAK
BBS5,MMP14
BBS5,MPPED2
BBS5,MPRIP-AS1
BBS5,MYO7A
BBS5,NCS1
BBS5,NKD2
BBS5,NLGN3
BBS5,NODAL
BBS5,NPIPA7
BBS5,NRG1
BBS5,NXN
BBS5,OXER1
BBS5,PADI2
BBS5,PAH
BBS5,PCDH1
BBS5,PDZD2
BBS5,PKD1L1
BBS5,PNMT
BBS5,PPFIA4
BBS5,PRKAR2B
BBS5,PRKCDBP
BBS5,PTGR1
BBS5,PTX3
BBS5,PVRL2
BBS5,RAB26
BBS5,RAB44
BBS5,RAPGEFL1
BBS5,RBMS3
BBS5,RBPMS2
BBS5,RCVRN
BBS5,RNF215
BBS5,RTN4RL1
BBS5,RUVBL1-AS1
BBS5,SAT1
BBS5,SELP
BBS5,SEMA3C
BBS5,SEZ6
BBS5,SHROOM1
BBS5,SIGLEC12
BBS5,SIGLEC15
BBS5,SLC11A1
BBS5,SLC15A3
BBS5,SLC1A3
BBS5,SLC22A16
BBS5,SLC25A35
BBS5,SLC32A1
BBS5,SLC43A2
BBS5,SLC46A2
BBS5,SLC4A3
BBS5,SLC6A8
BBS5,SLC6A9
BBS5,SLCO5A1
BBS5,SOGA2
BBS5,STRIP2
BBS5,STX16-NPEPL1
BBS5,TAC3
BBS5,TIGD4
BBS5,TMPRSS13
BBS5,TNS3
BBS5,TPD52L1
BBS5,TRIM74
BBS5,UCN
BBS5,VASN
BBS5,VEPH1
BBS5,VIT
BBS5,VNN3
BCAN,C15orf38
BCAN,C1orf111
BCAN,C2orf48
BCAN,CCDC149
BCAN,CCDC170
BCAN,CD36
BCAN,CYP3A5
BCAN,DLG5
BCAN,DOCK1
BCAN,GRIN2C
BCAN,HBA1
BCAN,HBD
BCAN,HBG1
BCAN,HBG2
BCAN,KRT5
BCAN,LONRF2
BCAN,LRRC3DN
BCAN,M1AP
BCAN,MFAP3L
BCAN,MMP14
BCAN,MMP9
BCAN,MPRIP-AS1
BCAN,NCS1
BCAN,NODAL
BCAN,NRG1
BCAN,PADI2
BCAN,PAH
BCAN,PF4V1
BCAN,PPFIA4
BCAN,PTGR1
BCAN,PVRL2
BCAN,RAB44
BCAN,RNF215
BCAN,SEMA3C
BCAN,SEZ6
BCAN,SIGLEC15
BCAN,SLC46A2
BCAN,SLC6A9
BCAN,SOGA2
BCAN,SYCE3
BCAN,VEPH1
BCAS1,C10orf11
BCAS1,C15orf26
BCAS1,C15orf38
BCAS1,C1orf111
BCAS1,C1orf115
BCAS1,C22orf43
BCAS1,CKM
BCAS1,CLCN4
BCAS1,CLDN23
BCAS1,CTB-61M7.2
BCAS1,CYP1B1-AS1
BCAS1,CYP27A1
BCAS1,CYP3A5
BCAS1,DLG5
BCAS1,DNAH7
BCAS1,DNAJB13
BCAS1,DNAJC28
BCAS1,DNTT
BCAS1,ECM1
BCAS1,ESPL1
BCAS1,EVC2
BCAS1,FBN1
BCAS1,FCAR
BCAS1,FKBP9
BCAS1,GPR63
BCAS1,GRIK4
BCAS1,GRIN2C
BCAS1,HCAR1
BCAS1,HCG20
BCAS1,HCN3
BCAS1,HHIP-AS1
BCAS1,HSPG2
BCAS1,IL27
BCAS1,IQCD
BCAS1,IQSEC2
BCAS1,JADE3
BCAS1,KCTD19
BCAS1,KIAA1257
BCAS1,KLHL14
BCAS1,KRT5
BCAS1,LIF
BCAS1,LILRB5
BCAS1,LINC00937
BCAS1,LONRF2
BCAS1,LRFN4
BCAS1,LRRC3DN
BCAS1,LURAP1
BCAS1,MAK
BCAS1,MPPED2
BCAS1,MPRIP-AS1
BCAS1,MYO7A
BCAS1,NCS1
BCAS1,NLGN3
BCAS1,NODAL
BCAS1,NRG1
BCAS1,NXN
BCAS1,OXER1
BCAS1,PAH
BCAS1,PKD1L1
BCAS1,PPFIA4
BCAS1,PRKCDBP
BCAS1,PTX3
BCAS1,RAB26
BCAS1,RAB44
BCAS1,RAPGEFL1
BCAS1,RBMS3
BCAS1,RCVRN
BCAS1,RNF215
BCAS1,RTN4RL1
BCAS1,RUVBL1-AS1
BCAS1,SAT1
BCAS1,SEMA3C
BCAS1,SEZ6
BCAS1,SHROOM1
BCAS1,SIGLEC15
BCAS1,SLC11A1
BCAS1,SLC1A3
BCAS1,SLC22A16
BCAS1,SLC32A1
BCAS1,SLC46A2
BCAS1,SLC4A3
BCAS1,SLC6A8
BCAS1,SLC6A9
BCAS1,SLCO5A1
BCAS1,SOGA2
BCAS1,STRIP2
BCAS1,STX16-NPEPL1
BCAS1,TAC3
BCAS1,TIGD4
BCAS1,TNS3
BCAS1,TPD52L1
BCAS1,TRIM74
BCAS1,UCN
BCAS1,VASN
BCAS1,VEPH1
BCAS1,VNN3
BEND2,CCDC170
BEND2,HBA1
BEND2,HBD
BEND2,HBG1
BEND2,HBG2
BMP6,CCDC170
BPI,CCDC149
BPI,CCDC170
BPI,FRMD3
BPI,HBA1
BPI,HBD
BPI,HBG1
BPI,HBG2
BPI,M1AP
BPI,PARD3
BPI,SYCE3
BPI,WLS
C10orf11,C1orf115
C10orf11,CYP27A1
C10orf11,CYP3A5
C10orf11,DNAJB13
C10orf11,DNAJC28
C10orf11,DNTT
C10orf11,EVC2
C10orf11,FBN1
C10orf11,HCG20
C10orf11,IQCD
C10orf11,KCTD19
C10orf11,KRT5
C10orf11,LONRF2
C10orf11,LURAP1
C10orf11,MPRIP-AS1
C10orf11,NCS1
C10orf11,OXER1
C10orf11,PKD1L1
C10orf11,PPFIA4
C10orf11,PTX3
C10orf11,RAB44
C10orf11,RAPGEFL1
C10orf11,RBMS3
C10orf11,RCVRN
C10orf11,RTN4RL1
C10orf11,SEMA3C
C10orf11,SLC32A1
C10orf11,SLC46A2
C10orf11,SLC6A9
C10orf11,SOGA2
C10orf11,TAC3
C10orf11,TIGD4
C10orf11,UCN
C10orf11,VEPH1
C10orf11,VNN3
C12orf39,CCDC170
C12orf39,HBA1
C12orf39,HBG1
C12orf39,HBG2
C15orf26,CYP3A5
C15orf26,DNTT
C15orf26,LONRF2
C15orf26,LURAP1
C15orf26,OXER1
C15orf26,PKD1L1
C15orf26,PPFIA4
C15orf26,PTX3
C15orf26,TIGD4
C15orf26,UCN
C15orf26,VEPH1
C15orf26,VNN3
C15orf38,C1orf111
C15orf38,C1orf115
C15orf38,C22orf43
C15orf38,C2orf48
C15orf38,CCDC149
C15orf38,CD36
C15orf38,CKM
C15orf38,CLDN23
C15orf38,CYP1B1-AS1
C15orf38,CYP27A1
C15orf38,CYP3A5
C15orf38,DLG5
C15orf38,DNAH7
C15orf38,DNAJB13
C15orf38,DNAJC28
C15orf38,DNTT
C15orf38,ECM1
C15orf38,ESPL1
C15orf38,FBN1
C15orf38,FKBP9
C15orf38,GRIK4
C15orf38,GRIN2C
C15orf38,HCG20
C15orf38,HHIP-AS1
C15orf38,HSPG2
C15orf38,IL27
C15orf38,IQCD
C15orf38,KLHL14
C15orf38,KRT5
C15orf38,LIF
C15orf38,LINC00610
C15orf38,LINC01036
C15orf38,LONRF2
C15orf38,LRFN4
C15orf38,LRRC37A3
C15orf38,LRRC3DN
C15orf38,LURAP1
C15orf38,MAK
C15orf38,MFAP3L
C15orf38,MMP14
C15orf38,MMP9
C15orf38,MPPED2
C15orf38,MPRIP-AS1
C15orf38,MYO7A
C15orf38,NCS1
C15orf38,NLGN3
C15orf38,NODAL
C15orf38,NPIPA7
C15orf38,NRG1
C15orf38,OXER1
C15orf38,PADI2
C15orf38,PAH
C15orf38,PF4V1
C15orf38,PKD1L1
C15orf38,PPFIA4
C15orf38,PTGR1
C15orf38,PTX3
C15orf38,PVRL2
C15orf38,RAB44
C15orf38,RAPGEFL1
C15orf38,RBMS3
C15orf38,RCVRN
C15orf38,RNF215
C15orf38,RTN4RL1
C15orf38,SELP
C15orf38,SEMA3C
C15orf38,SERINC4
C15orf38,SEZ6
C15orf38,SIGLEC15
C15orf38,SLC1A3
C15orf38,SLC32A1
C15orf38,SLC46A2
C15orf38,SLC4A3
C15orf38,SLC6A9
C15orf38,SOGA2
C15orf38,STRIP2
C15orf38,STX16-NPEPL1
C15orf38,TAC3
C15orf38,TIGD4
C15orf38,TNS3
C15orf38,TPD52L1
C15orf38,UCN
C15orf38,VASN
C15orf38,VEPH1
C15orf38,VIT
C15orf38,VNN3
C17orf96,C1orf111
C17orf96,C1orf115
C17orf96,C22orf43
C17orf96,C2orf48
C17orf96,CCDC149
C17orf96,CD36
C17orf96,CKM
C17orf96,CLDN23
C17orf96,CTB-61M7.2
C17orf96,CYP1B1-AS1
C17orf96,CYP27A1
C17orf96,CYP3A5
C17orf96,DLG5
C17orf96,DNAH12
C17orf96,DNAH7
C17orf96,DNAJB13
C17orf96,DNAJC28
C17orf96,DNTT
C17orf96,ECM1
C17orf96,EGFL7
C17orf96,EPHB1
C17orf96,EPHB2
C17orf96,EPHB4
C17orf96,ESPL1
C17orf96,EVC2
C17orf96,FBN1
C17orf96,FCAR
C17orf96,FKBP9
C17orf96,FXYD6
C17orf96,GPR63
C17orf96,GRIK4
C17orf96,GRIN2C
C17orf96,HCAR1
C17orf96,HCG20
C17orf96,HCN3
C17orf96,HHIP-AS1
C17orf96,HSPG2
C17orf96,IL27
C17orf96,IQCD
C17orf96,IQSEC2
C17orf96,JADE3
C17orf96,KCTD19
C17orf96,KIAA1257
C17orf96,KLHL14
C17orf96,KRT5
C17orf96,LIF
C17orf96,LINC00610
C17orf96,LINC00937
C17orf96,LINC01036
C17orf96,LONRF2
C17orf96,LRFN4
C17orf96,LRRC37A3
C17orf96,LRRC3DN
C17orf96,LRRC48
C17orf96,LURAP1
C17orf96,MAK
C17orf96,MFAP3L
C17orf96,MMP14
C17orf96,MMP9
C17orf96,MPPED2
C17orf96,MPRIP-AS1
C17orf96,MYO7A
C17orf96,NCS1
C17orf96,NLGN3
C17orf96,NODAL
C17orf96,NPIPA7
C17orf96,NRG1
C17orf96,OXER1
C17orf96,PADI2
C17orf96,PAH
C17orf96,PCDH1
C17orf96,PDZD2
C17orf96,PF4V1
C17orf96,PKD1L1
C17orf96,PNMT
C17orf96,PPFIA4
C17orf96,PRKAR2B
C17orf96,PRKCDBP
C17orf96,PTGR1
C17orf96,PTX3
C17orf96,PVRL2
C17orf96,RAB26
C17orf96,RAB44
C17orf96,RAPGEFL1
C17orf96,RBMS3
C17orf96,RBPMS2
C17orf96,RCVRN
C17orf96,RNF215
C17orf96,RTN4RL1
C17orf96,RUVBL1-AS1
C17orf96,SELP
C17orf96,SEMA3C
C17orf96,SERINC4
C17orf96,SEZ6
C17orf96,SIGLEC15
C17orf96,SLC1A3
C17orf96,SLC32A1
C17orf96,SLC46A2
C17orf96,SLC4A3
C17orf96,SLC6A8
C17orf96,SLC6A9
C17orf96,SLCO5A1
C17orf96,SOGA2
C17orf96,STRIP2
C17orf96,STX16-NPEPL1
C17orf96,TAC3
C17orf96,TIGD4
C17orf96,TMPRSS13
C17orf96,TNS3
C17orf96,TPD52L1
C17orf96,TRIM74
C17orf96,UCN
C17orf96,VASN
C17orf96,VEPH1
