Gene1,Gene2
MAX,AC005523.3
ZNF683,AC005523.3
ID3,AC005523.3
ASCL2,AC005523.3
JUN,AC005523.3
JUND,AC005523.3
FOSB,AC005523.3
DNAJC1,AC005523.3
SPIB,AC005523.3
LYL1,AC005523.3
SPI1,AC005523.3
MAFG,AC005523.3
HOPX,AC005523.3
IRF7,AC005523.3
MAX,AC005616.1
CEBPD,AC005616.1
IRF8,AC005616.1
ZNF683,AC005616.1
ID3,AC005616.1
ASCL2,AC005616.1
JUN,AC005616.1
JUND,AC005616.1
FOSB,AC005616.1
DNAJC1,AC005616.1
SPI1,AC005616.1
SPIB,AC005616.1
LYL1,AC005616.1
HOPX,AC005616.1
IRF7,AC005616.1
MAX,AC005808.3
CEBPD,AC005808.3
ZNF562,AC005808.3
ZNF683,AC005808.3
ID3,AC005808.3
JUN,AC005808.3
JUND,AC005808.3
FOSB,AC005808.3
DNAJC1,AC005808.3
SPI1,AC005808.3
SPIB,AC005808.3
TSC22D1,AC005808.3
LYL1,AC005808.3
HOPX,AC005808.3
IRF8,AC005808.3
CEBPD,AC006116.17
ZNF683,AC006116.17
ID1,AC006116.17
ID3,AC006116.17
ASCL2,AC006116.17
JUN,AC006116.17
JUND,AC006116.17
NFE2,AC006116.17
FOSB,AC006116.17
DNAJC1,AC006116.17
SPI1,AC006116.17
HOPX,AC006116.17
TSC22D1,AC006116.17
IRF7,AC006116.17
IRF8,AC006116.17
MAX,AC006547.14
CEBPD,AC006547.14
IRF8,AC006547.14
RXRA,AC006547.14
ZNF683,AC006547.14
ID3,AC006547.14
ASCL2,AC006547.14
JUN,AC006547.14
JUND,AC006547.14
FOSB,AC006547.14
DNAJC1,AC006547.14
SPI1,AC006547.14
LYL1,AC006547.14
HOPX,AC006547.14
IRF7,AC006547.14
MAX,AC007566.10
CEBPD,AC007566.10
ZNF683,AC007566.10
ID1,AC007566.10
ID3,AC007566.10
ASCL2,AC007566.10
JUN,AC007566.10
JUND,AC007566.10
FOSB,AC007566.10
DNAJC1,AC007566.10
SPI1,AC007566.10
LYL1,AC007566.10
MAFG,AC007566.10
HOPX,AC007566.10
IRF8,AC007566.10
MAX,AC007879.2
RXRA,AC007879.2
ARID3A,AC007879.2
ID1,AC007879.2
ID3,AC007879.2
JUN,AC007879.2
FOSB,AC007879.2
SPI1,AC007879.2
SPIB,AC007879.2
LYL1,AC007879.2
HOPX,AC007879.2
ZFHX3,AC007879.2
ZGLP1,AC007879.2
IRF7,AC007879.2
IRF8,AC007879.2
MAX,AC011893.3
IRF8,AC011893.3
ARID3A,AC011893.3
JUN,AC011893.3
JUND,AC011893.3
FOSB,AC011893.3
DNAJC1,AC011893.3
SPIB,AC011893.3
LYL1,AC011893.3
SPI1,AC011893.3
HOPX,AC011893.3
MAFG,AC011893.3
IRF7,AC011893.3
MYBL2,AC011893.3
MYCL,AC011893.3
MAX,AC015969.3
TAL1,AC015969.3
CEBPD,AC015969.3
MEIS1,AC015969.3
ID3,AC015969.3
JUN,AC015969.3
NFE2,AC015969.3
DNAJC1,AC015969.3
LYL1,AC015969.3
GRHL1,AC015969.3
TSC22D1,AC015969.3
SPI1,AC015969.3
MAFG,AC015969.3
GFI1B,AC015969.3
HOPX,AC015969.3
MAX,AC016586.1
CEBPD,AC016586.1
RXRA,AC016586.1
ID1,AC016586.1
ASCL2,AC016586.1
JUN,AC016586.1
JUND,AC016586.1
NFE2,AC016586.1
DNAJC1,AC016586.1
SPIB,AC016586.1
LYL1,AC016586.1
TSC22D1,AC016586.1
SPI1,AC016586.1
HOPX,AC016586.1
IRF7,AC016586.1
CEBPD,AC016700.5
IRF8,AC016700.5
ARID3A,AC016700.5
RXRA,AC016700.5
JUN,AC016700.5
JUND,AC016700.5
NFE2,AC016700.5
FOSB,AC016700.5
SPI1,AC016700.5
SPIB,AC016700.5
LYL1,AC016700.5
MAFG,AC016700.5
HLX,AC016700.5
IRF7,AC016700.5
MYBL2,AC016700.5
MAX,AC022007.5
CEBPD,AC022007.5
RXRA,AC022007.5
ID1,AC022007.5
ID3,AC022007.5
ARID3A,AC022007.5
ASCL2,AC022007.5
JUN,AC022007.5
PBX1,AC022007.5
FOSB,AC022007.5
DNAJC1,AC022007.5
SPI1,AC022007.5
GFI1B,AC022007.5
HOPX,AC022007.5
IRF7,AC022007.5
MAX,AC090186.1
CEBPD,AC090186.1
IRF8,AC090186.1
ZNF618,AC090186.1
ZNF683,AC090186.1
ID3,AC090186.1
ASCL2,AC090186.1
JUN,AC090186.1
JUND,AC090186.1
FOSB,AC090186.1
DNAJC1,AC090186.1
SPI1,AC090186.1
LYL1,AC090186.1
HOPX,AC090186.1
IRF7,AC090186.1
MAX,AC092620.3
VENTX,AC092620.3
RXRA,AC092620.3
ID1,AC092620.3
JDP2,AC092620.3
JUN,AC092620.3
JUND,AC092620.3
FOSB,AC092620.3
DNAJC1,AC092620.3
SPIB,AC092620.3
LYL1,AC092620.3
SPI1,AC092620.3
ZFHX3,AC092620.3
HOPX,AC092620.3
IRF7,AC092620.3
MAX,AC093157.1
CEBPD,AC093157.1
RXRA,AC093157.1
ID3,AC093157.1
JUN,AC093157.1
JUND,AC093157.1
NFE2,AC093157.1
FOSB,AC093157.1
DNAJC1,AC093157.1
SPIB,AC093157.1
LYL1,AC093157.1
TSC22D1,AC093157.1
SPI1,AC093157.1
GFI1B,AC093157.1
HOPX,AC093157.1
MAX,AC104655.3
CEBPD,AC104655.3
RORB,AC104655.3
ZNF683,AC104655.3
ID3,AC104655.3
ASCL2,AC104655.3
JUN,AC104655.3
FOSB,AC104655.3
SPI1,AC104655.3
DNAJC1,AC104655.3
SATB2,AC104655.3
SPIB,AC104655.3
LYL1,AC104655.3
HOPX,AC104655.3
IRF8,AC104655.3
MAX,AC108025.2
CEBPD,AC108025.2
IRF8,AC108025.2
ZNF618,AC108025.2
ID3,AC108025.2
JUN,AC108025.2
JUND,AC108025.2
NFE2,AC108025.2
FOSB,AC108025.2
DNAJC1,AC108025.2
SPI1,AC108025.2
LYL1,AC108025.2
TSC22D1,AC108025.2
HOPX,AC108025.2
IRF7,AC108025.2
MAX,AC137932.6
TAL1,AC137932.6
CEBPD,AC137932.6
MEIS1,AC137932.6
JUN,AC137932.6
MITF,AC137932.6
NFE2,AC137932.6
PBX1,AC137932.6
GRHL1,AC137932.6
LYL1,AC137932.6
TSC22D1,AC137932.6
MAFG,AC137932.6
ZGLP1,AC137932.6
GFI1B,AC137932.6
IRX3,AC137932.6
MAX,AC147651.3
TAL1,AC147651.3
MEIS1,AC147651.3
JUN,AC147651.3
JUND,AC147651.3
WDHD1,AC147651.3
NFE2,AC147651.3
PBX1,AC147651.3
GRHL1,AC147651.3
LYL1,AC147651.3
TSC22D1,AC147651.3
MAFG,AC147651.3
ZGLP1,AC147651.3
GFI1B,AC147651.3
HOPX,AC147651.3
MAX,ACRBP
TAL1,ACRBP
MEIS1,ACRBP
JUN,ACRBP
NFE2,ACRBP
PBX1,ACRBP
GRHL1,ACRBP
SPI1,ACRBP
LYL1,ACRBP
TSC22D1,ACRBP
MAFG,ACRBP
ZGLP1,ACRBP
GFI1B,ACRBP
HOPX,ACRBP
IRX3,ACRBP
MAX,ACTB
TAL1,ACTB
CEBPD,ACTB
ZNF683,ACTB
ASCL2,ACTB
JUN,ACTB
JUND,ACTB
NFE2,ACTB
FOSB,ACTB
GRHL1,ACTB
LYL1,ACTB
SPI1,ACTB
TSC22D1,ACTB
GFI1B,ACTB
HOPX,ACTB
MAX,ACTG2
CEBPD,ACTG2
IRF8,ACTG2
RXRA,ACTG2
ID3,ACTG2
ASCL2,ACTG2
JUN,ACTG2
JUND,ACTG2
NFE2,ACTG2
FOSB,ACTG2
DNAJC1,ACTG2
LYL1,ACTG2
TSC22D1,ACTG2
HOPX,ACTG2
IRF7,ACTG2
CREB5,ACVRL1
MAX,ACVRL1
CEBPD,ACVRL1
ID1,ACVRL1
ID3,ACVRL1
JUN,ACVRL1
JUND,ACVRL1
FOSB,ACVRL1
DNAJC1,ACVRL1
LYL1,ACVRL1
SPI1,ACVRL1
TSC22D1,ACVRL1
HOPX,ACVRL1
IRF8,ACVRL1
MYCL,ACVRL1
CREB5,ADAP2
CEBPD,ADAP2
ZNF503,ADAP2
ID1,ADAP2
RXRA,ADAP2
JDP2,ADAP2
JUN,ADAP2
JUND,ADAP2
FOSB,ADAP2
DNAJC1,ADAP2
LYL1,ADAP2
SPI1,ADAP2
HLX,ADAP2
IRF7,ADAP2
IRF8,ADAP2
MAX,AF131215.5
CEBPD,AF131215.5
IRF8,AF131215.5
ZNF683,AF131215.5
ID3,AF131215.5
JUN,AF131215.5
JUND,AF131215.5
DNAJC1,AF131215.5
SPI1,AF131215.5
SPIB,AF131215.5
TSC22D1,AF131215.5
LYL1,AF131215.5
GFI1B,AF131215.5
HOPX,AF131215.5
IRF7,AF131215.5
MAX,AFAP1-AS1
TAL1,AFAP1-AS1
CEBPD,AFAP1-AS1
MEIS1,AFAP1-AS1
AIRE,AFAP1-AS1
JUN,AFAP1-AS1
MITF,AFAP1-AS1
NFE2,AFAP1-AS1
PBX1,AFAP1-AS1
GRHL1,AFAP1-AS1
SPI1,AFAP1-AS1
LYL1,AFAP1-AS1
TSC22D1,AFAP1-AS1
MAFG,AFAP1-AS1
GFI1B,AFAP1-AS1
MAX,AGAP3
CEBPD,AGAP3
RXRA,AGAP3
ID1,AGAP3
ARID3A,AGAP3
JUN,AGAP3
JUND,AGAP3
NFE2,AGAP3
FOSB,AGAP3
DNAJC1,AGAP3
LYL1,AGAP3
SPI1,AGAP3
ZFHX3,AGAP3
NR6A1,AGAP3
IRF7,AGAP3
CEBPD,AGTRAP
ZNF618,AGTRAP
RXRA,AGTRAP
ID1,AGTRAP
JDP2,AGTRAP
ASCL2,AGTRAP
JUN,AGTRAP
JUND,AGTRAP
NFE2,AGTRAP
FOSB,AGTRAP
DNAJC1,AGTRAP
SPI1,AGTRAP
LYL1,AGTRAP
ZGLP1,AGTRAP
HOPX,AGTRAP
CEBPD,AIF1
RXRA,AIF1
ID1,AIF1
JUN,AIF1
JUND,AIF1
NFE2,AIF1
FOSB,AIF1
SPI1,AIF1
SPIB,AIF1
LYL1,AIF1
HOPX,AIF1
ZFHX3,AIF1
ZGLP1,AIF1
IRF7,AIF1
IRF8,AIF1
MAX,AK4
CEBPD,AK4
IRF8,AK4
RXRA,AK4
ID3,AK4
ARID3A,AK4
JUN,AK4
JUND,AK4
NFE2,AK4
FOSB,AK4
DNAJC1,AK4
LYL1,AK4
SPI1,AK4
HOPX,AK4
MYBL2,AK4
MAX,AKR1C3
CEBPD,AKR1C3
ZNF470,AKR1C3
ZNF547,AKR1C3
ZNF618,AKR1C3
ZNF683,AKR1C3
RXRA,AKR1C3
TFAP2E,AKR1C3
ASCL2,AKR1C3
JUN,AKR1C3
DNAJC1,AKR1C3
SPI1,AKR1C3
ZGLP1,AKR1C3
HOPX,AKR1C3
IRF7,AKR1C3
MAX,AL022344.7
TAL1,AL022344.7
ASCL2,AL022344.7
JUND,AL022344.7
JUN,AL022344.7
NFE2,AL022344.7
ATOH8,AL022344.7
PBX1,AL022344.7
SPI1,AL022344.7
LYL1,AL022344.7
GRHL1,AL022344.7
TSC22D1,AL022344.7
MAFG,AL022344.7
ZGLP1,AL022344.7
GFI1B,AL022344.7
MAX,AL049829.1
CEBPD,AL049829.1
IRF8,AL049829.1
ZNF683,AL049829.1
ID1,AL049829.1
ID3,AL049829.1
ASCL2,AL049829.1
JUN,AL049829.1
JUND,AL049829.1
FOSB,AL049829.1
DNAJC1,AL049829.1
SPI1,AL049829.1
LYL1,AL049829.1
HOPX,AL049829.1
IRF7,AL049829.1
MAX,AL136376.1
CEBPD,AL136376.1
VENTX,AL136376.1
ID1,AL136376.1
RXRA,AL136376.1
ASCL2,AL136376.1
JUN,AL136376.1
JUND,AL136376.1
FOSB,AL136376.1
DNAJC1,AL136376.1
LYL1,AL136376.1
SPI1,AL136376.1
MAFG,AL136376.1
HOPX,AL136376.1
IRF7,AL136376.1
MAX,AL359091.2
VENTX,AL359091.2
ARID3A,AL359091.2
ID3,AL359091.2
JUN,AL359091.2
JUND,AL359091.2
FOSB,AL359091.2
DNAJC1,AL359091.2
SPIB,AL359091.2
LYL1,AL359091.2
TSC22D1,AL359091.2
ZFHX3,AL359091.2
GFI1B,AL359091.2
HOPX,AL359091.2
IRF7,AL359091.2
IRF8,AL928768.3
ZNF562,AL928768.3
ID3,AL928768.3
THAP9,AL928768.3
JUN,AL928768.3
JUND,AL928768.3
LHX1,AL928768.3
DNAJC1,AL928768.3
SPI1,AL928768.3
SPIB,AL928768.3
LYL1,AL928768.3
IRF7,AL928768.3
HLX,AL928768.3
HOPX,AL928768.3
MYBL2,AL928768.3
TAL1,ALDH1A1
ARID3A,ALDH1A1
RXRA,ALDH1A1
ID3,ALDH1A1
JUN,ALDH1A1
JUND,ALDH1A1
NFE2,ALDH1A1
FOSB,ALDH1A1
PBX1,ALDH1A1
SPI1,ALDH1A1
LYL1,ALDH1A1
ZFHX3,ALDH1A1
ZGLP1,ALDH1A1
GFI1B,ALDH1A1
IRF7,ALDH1A1
CEBPD,ALDH4A1
RXRA,ALDH4A1
AIRE,ALDH4A1
ID3,ALDH4A1
ASCL2,ALDH4A1
JUN,ALDH4A1
LHX1,ALDH4A1
FOSB,ALDH4A1
DNAJC1,ALDH4A1
SPI1,ALDH4A1
SPIB,ALDH4A1
TSC22D1,ALDH4A1
LYL1,ALDH4A1
ZGLP1,ALDH4A1
HOPX,ALDH4A1
MAX,ALOX12
TAL1,ALOX12
MEIS1,ALOX12
JUN,ALOX12
JUND,ALOX12
WDHD1,ALOX12
MITF,ALOX12
NFE2,ALOX12
PBX1,ALOX12
GRHL1,ALOX12
LYL1,ALOX12
TSC22D1,ALOX12
MAFG,ALOX12
ZGLP1,ALOX12
GFI1B,ALOX12
MAX,ANKRD9
TAL1,ANKRD9
CEBPD,ANKRD9
MEIS1,ANKRD9
MITF,ANKRD9
NFE2,ANKRD9
PBX1,ANKRD9
DNAJC1,ANKRD9
LYL1,ANKRD9
GRHL1,ANKRD9
TSC22D1,ANKRD9
MAFG,ANKRD9
ZGLP1,ANKRD9
GFI1B,ANKRD9
IRX3,ANKRD9
CREB5,ANPEP
CEBPD,ANPEP
ARID3A,ANPEP
ID1,ANPEP
RXRA,ANPEP
JUN,ANPEP
JUND,ANPEP
NFE2,ANPEP
FOSB,ANPEP
SPI1,ANPEP
HLX,ANPEP
ZGLP1,ANPEP
ZFHX3,ANPEP
IRF7,ANPEP
MYCL,ANPEP
CEBPD,AP001053.11
VENTX,AP001053.11
RXRA,AP001053.11
ID3,AP001053.11
ASCL2,AP001053.11
JUN,AP001053.11
JUND,AP001053.11
FOSB,AP001053.11
SPI1,AP001053.11
LYL1,AP001053.11
TSC22D1,AP001053.11
MAFG,AP001053.11
IRF7,AP001053.11
ZNF205,AP001053.11
MYCL,AP001053.11
MAX,AP001189.4
TAL1,AP001189.4
MEIS1,AP001189.4
JUN,AP001189.4
MITF,AP001189.4
NFE2,AP001189.4
FOSB,AP001189.4
PBX1,AP001189.4
GRHL1,AP001189.4
LYL1,AP001189.4
TSC22D1,AP001189.4
MAFG,AP001189.4
ZGLP1,AP001189.4
GFI1B,AP001189.4
IRX3,AP001189.4
MAX,AP001626.1
CEBPD,AP001626.1
IRF8,AP001626.1
ZNF683,AP001626.1
ID3,AP001626.1
ASCL2,AP001626.1
JUN,AP001626.1
JUND,AP001626.1
FOSB,AP001626.1
DNAJC1,AP001626.1
SPI1,AP001626.1
SPIB,AP001626.1
LYL1,AP001626.1
HOPX,AP001626.1
IRF7,AP001626.1
MAX,AP003068.23
TAL1,AP003068.23
MEIS1,AP003068.23
JUN,AP003068.23
NFE2,AP003068.23
PBX1,AP003068.23
GRHL1,AP003068.23
SPI1,AP003068.23
LYL1,AP003068.23
TSC22D1,AP003068.23
MAFG,AP003068.23
ZGLP1,AP003068.23
GFI1B,AP003068.23
HOPX,AP003068.23
IRF8,AP003068.23
ZNF366,AP003774.6
CEBPD,AP003774.6
ZNF503,AP003774.6
ZNF618,AP003774.6
ID1,AP003774.6
RXRA,AP003774.6
JDP2,AP003774.6
JUN,AP003774.6
JUND,AP003774.6
NFE2,AP003774.6
FOSB,AP003774.6
DNAJC1,AP003774.6
LYL1,AP003774.6
SPI1,AP003774.6
ZGLP1,AP003774.6
MAX,AP006621.8
CEBPD,AP006621.8
RXRA,AP006621.8
JUN,AP006621.8
JUND,AP006621.8
FOSB,AP006621.8
DNAJC1,AP006621.8
SPIB,AP006621.8
LYL1,AP006621.8
SPI1,AP006621.8
NR6A1,AP006621.8
ZGLP1,AP006621.8
IRF7,AP006621.8
IRF8,AP006621.8
MYCL,AP006621.8
CEBPD,APCDD1
MAX,APCDD1
IRF8,APCDD1
ZNF618,APCDD1
ID1,APCDD1
ID3,APCDD1
JDP2,APCDD1
JUN,APCDD1
JUND,APCDD1
FOSB,APCDD1
DNAJC1,APCDD1
SPIB,APCDD1
LYL1,APCDD1
HOPX,APCDD1
IRF7,APCDD1
CEBPD,APLP2
ZNF503,APLP2
RXRA,APLP2
ID1,APLP2
ELF3,APLP2
ARID3A,APLP2
ASCL2,APLP2
JUN,APLP2
JUND,APLP2
NFE2,APLP2
FOSB,APLP2
SPI1,APLP2
LYL1,APLP2
ZFHX3,APLP2
ZGLP1,APLP2
MAX,APOBEC3A
ZNF503,APOBEC3A
CEBPD,APOBEC3A
RXRA,APOBEC3A
ELF3,APOBEC3A
ARID3A,APOBEC3A
ASCL2,APOBEC3A
JUN,APOBEC3A
JUND,APOBEC3A
NFE2,APOBEC3A
FOSB,APOBEC3A
SPI1,APOBEC3A
IRF7,APOBEC3A
IRF8,APOBEC3A
MYCL,APOBEC3A
MAX,APOBR
CEBPD,APOBR
VENTX,APOBR
IRF8,APOBR
ZNF618,APOBR
ID1,APOBR
RXRA,APOBR
JDP2,APOBR
JUND,APOBR
NFE2,APOBR
FOSB,APOBR
DNAJC1,APOBR
SPI1,APOBR
ZNF132,APOBR
ZNF205,APOBR
MAX,APP
CEBPD,APP
IRF8,APP
MEIS1,APP
JUN,APP
JUND,APP
PBX1,APP
GRHL1,APP
SPIB,APP
LYL1,APP
TSC22D1,APP
SPI1,APP
IRF7,APP
MYBL2,APP
MYCL,APP
MAX,AQP1
TAL1,AQP1
MEIS1,AQP1
ZNF683,AQP1
ID3,AQP1
ASCL2,AQP1
JUN,AQP1
NFE2,AQP1
PBX1,AQP1
LYL1,AQP1
TSC22D1,AQP1
MAFG,AQP1
ZGLP1,AQP1
HOPX,AQP1
IRX3,AQP1
MAX,AQP10
TAL1,AQP10
MEIS1,AQP10
ID3,AQP10
JUN,AQP10
MITF,AQP10
NFE2,AQP10
PBX1,AQP10
GRHL1,AQP10
SPI1,AQP10
LYL1,AQP10
TSC22D1,AQP10
MAFG,AQP10
ZGLP1,AQP10
GFI1B,AQP10
MAX,ARG1
CEBPD,ARG1
IRF8,ARG1
ZNF683,ARG1
ID1,ARG1
ID3,ARG1
JUN,ARG1
JUND,ARG1
FOSB,ARG1
DNAJC1,ARG1
SPI1,ARG1
LYL1,ARG1
MAFG,ARG1
HOPX,ARG1
IRF7,ARG1
MAX,ARHGAP18
TAL1,ARHGAP18
MEIS1,ARHGAP18
ARID3A,ARHGAP18
JUN,ARHGAP18
NFE2,ARHGAP18
PBX1,ARHGAP18
GRHL1,ARHGAP18
DNAJC1,ARHGAP18
LYL1,ARHGAP18
TSC22D1,ARHGAP18
MAFG,ARHGAP18
ZGLP1,ARHGAP18
GFI1B,ARHGAP18
HOPX,ARHGAP18
MAX,ARHGAP6
TAL1,ARHGAP6
MEIS1,ARHGAP6
JUN,ARHGAP6
NFE2,ARHGAP6
PBX1,ARHGAP6
GRHL1,ARHGAP6
LYL1,ARHGAP6
TSC22D1,ARHGAP6
MAFG,ARHGAP6
ZFHX3,ARHGAP6
ZGLP1,ARHGAP6
GFI1B,ARHGAP6
HOPX,ARHGAP6
IRX3,ARHGAP6
ZNF366,ARHGEF10L
CEBPD,ARHGEF10L
CREB5,ARHGEF10L
VENTX,ARHGEF10L
ID1,ARHGEF10L
RXRA,ARHGEF10L
ARID3A,ARHGEF10L
JUND,ARHGEF10L
NFE2,ARHGEF10L
FOSB,ARHGEF10L
SPI1,ARHGEF10L
NR6A1,ARHGEF10L
MAFG,ARHGEF10L
ZGLP1,ARHGEF10L
MYCL,ARHGEF10L
CREB5,ARHGEF28
CEBPD,ARHGEF28
MAX,ARHGEF28
ZNF683,ARHGEF28
ID3,ARHGEF28
ARID3A,ARHGEF28
ASCL2,ARHGEF28
JUN,ARHGEF28
JUND,ARHGEF28
FOSB,ARHGEF28
DNAJC1,ARHGEF28
SPI1,ARHGEF28
ZGLP1,ARHGEF28
HOPX,ARHGEF28
IRF7,ARHGEF28
CREB5,ARHGEF40
CEBPD,ARHGEF40
VENTX,ARHGEF40
ID1,ARHGEF40
ID3,ARHGEF40
JUND,ARHGEF40
NFE2,ARHGEF40
FOSB,ARHGEF40
SPI1,ARHGEF40
SPIB,ARHGEF40
TSC22D1,ARHGEF40
MAFG,ARHGEF40
IRF7,ARHGEF40
IRF8,ARHGEF40
MYCL,ARHGEF40
MAX,ARMC3
TAL1,ARMC3
MEIS1,ARMC3
ID1,ARMC3
JUN,ARMC3
MITF,ARMC3
NFE2,ARMC3
PBX1,ARMC3
GRHL1,ARMC3
DNAJC1,ARMC3
LYL1,ARMC3
TSC22D1,ARMC3
MAFG,ARMC3
ZGLP1,ARMC3
GFI1B,ARMC3
CEBPD,ARRDC5
VENTX,ARRDC5
ID1,ARRDC5
RXRA,ARRDC5
JUN,ARRDC5
JUND,ARRDC5
FOSB,ARRDC5
DNAJC1,ARRDC5
SPIB,ARRDC5
ZNF205,ARRDC5
MAFG,ARRDC5
CUX2,ARRDC5
IRF7,ARRDC5
MYBL2,ARRDC5
MYCL,ARRDC5
CEBPD,ARSD
ZNF503,ARSD
VENTX,ARSD
IRF8,ARSD
ID1,ARSD
ID3,ARSD
RXRA,ARSD
JUN,ARSD
JUND,ARSD
FOSB,ARSD
SPI1,ARSD
LYL1,ARSD
IRF7,ARSD
MYBL2,ARSD
MYCL,ARSD
CEBPD,ASGR1
RXRA,ASGR1
ID1,ASGR1
ELF3,ASGR1
JDP2,ASGR1
ARID3A,ASGR1
ASCL2,ASGR1
JUN,ASGR1
JUND,ASGR1
FOSB,ASGR1
ATOH8,ASGR1
SPI1,ASGR1
MAFG,ASGR1
ZFHX3,ASGR1
ZGLP1,ASGR1
CREB5,ASGR2
CEBPD,ASGR2
ZNF503,ASGR2
ZNF618,ASGR2
ID1,ASGR2
RXRA,ASGR2
JUN,ASGR2
JUND,ASGR2
NFE2,ASGR2
FOSB,ASGR2
DNAJC1,ASGR2
LYL1,ASGR2
SPI1,ASGR2
ZFHX3,ASGR2
NR6A1,ASGR2
MAX,ASIP
CEBPD,ASIP
IRF8,ASIP
ARID3A,ASIP
JUN,ASIP
JUND,ASIP
FOSB,ASIP
DNAJC1,ASIP
SPIB,ASIP
IRF7,ASIP
TSC22D1,ASIP
MAFG,ASIP
HOPX,ASIP
MYBL2,ASIP
MYCL,ASIP
MAX,ASMT
CEBPD,ASMT
RXRA,ASMT
ZNF683,ASMT
ID3,ASMT
JUN,ASMT
JUND,ASMT
FOSB,ASMT
DNAJC1,ASMT
SPI1,ASMT
SPIB,ASMT
LYL1,ASMT
ZGLP1,ASMT
HOPX,ASMT
IRF7,ASMT
CREB5,ATP6V0A1
CEBPD,ATP6V0A1
ZNF503,ATP6V0A1
VENTX,ATP6V0A1
IRF8,ATP6V0A1
RXRA,ATP6V0A1
ARID3A,ATP6V0A1
JUN,ATP6V0A1
JUND,ATP6V0A1
NFE2,ATP6V0A1
FOSB,ATP6V0A1
SPI1,ATP6V0A1
LYL1,ATP6V0A1
HOPX,ATP6V0A1
IRF7,ATP6V0A1
MAX,AURKC
CEBPD,AURKC
IRF8,AURKC
ID1,AURKC
ARID3A,AURKC
JDP2,AURKC
ASCL2,AURKC
JUN,AURKC
JUND,AURKC
NFE2,AURKC
FOSB,AURKC
DNAJC1,AURKC
SPIB,AURKC
HOPX,AURKC
IRF7,AURKC
MAX,AXIN2
CEBPD,AXIN2
MEIS1,AXIN2
ID1,AXIN2
ID3,AXIN2
ASCL2,AXIN2
JUN,AXIN2
NFE2,AXIN2
PBX1,AXIN2
SPI1,AXIN2
SPIB,AXIN2
LYL1,AXIN2
GFI1B,AXIN2
RFX8,AXIN2
HOPX,AXIN2
MAX,AZU1
ZNF503,AZU1
