Gene1,Gene2
ACVRL1,SIGLEC15
ACVRL1,SLC1A3
ACVRL1,SLC32A1
ACVRL1,SLC46A2
ACVRL1,SLC6A8
ACVRL1,SLC6A9
ACVRL1,SLFN14
ACVRL1,SMIM10
ACVRL1,SOGA2
ACVRL1,STRIP2
ACVRL1,STX16-NPEPL1
ACVRL1,TAC3
ACVRL1,TFPI
ACVRL1,TIGD4
ACVRL1,TNS3
ACVRL1,TRIM74
ACVRL1,VASN
ACVRL1,VEGFA
ACVRL1,VEPH1
ACVRL1,VNN3
AFAP1-AS1,AURKC
AFAP1-AS1,BAIAP2-AS1
AFAP1-AS1,BCAN
AFAP1-AS1,BEND2
AFAP1-AS1,BMP6
AFAP1-AS1,BPI
AFAP1-AS1,C1orf222
AFAP1-AS1,CABP5
AFAP1-AS1,CALD1
AFAP1-AS1,CCDC135
AFAP1-AS1,CCDC149
AFAP1-AS1,CCDC170
AFAP1-AS1,CDKN2B
AFAP1-AS1,CETP
AFAP1-AS1,CHRNA2
AFAP1-AS1,CLEC5A
AFAP1-AS1,CLMN
AFAP1-AS1,CLNK
AFAP1-AS1,CMTM2
AFAP1-AS1,CRISPLD2
AFAP1-AS1,CTDSPL
AFAP1-AS1,CTTN
AFAP1-AS1,CXCL10
AFAP1-AS1,CXCL3
AFAP1-AS1,CXCL5
AFAP1-AS1,CYP1B1
AFAP1-AS1,DGKG
AFAP1-AS1,DOCK5
AFAP1-AS1,ELANE
AFAP1-AS1,EPHB2
AFAP1-AS1,EXOC3L1
AFAP1-AS1,F2RL3
AFAP1-AS1,FAM212B-AS1
AFAP1-AS1,FRMD3
AFAP1-AS1,FXYD6
AFAP1-AS1,FZD2
AFAP1-AS1,GLT1D1
AFAP1-AS1,GPR162
AFAP1-AS1,GUCY2D
AFAP1-AS1,HBD
AFAP1-AS1,HRASLS
AFAP1-AS1,HSPA2
AFAP1-AS1,JAG2
AFAP1-AS1,JUN
AFAP1-AS1,KIF13A
AFAP1-AS1,LEFTY1
AFAP1-AS1,LINC00989
AFAP1-AS1,LRP3
AFAP1-AS1,LRRC37A3
AFAP1-AS1,LSMEM1
AFAP1-AS1,M1AP
AFAP1-AS1,MAX
AFAP1-AS1,MBOAT2
AFAP1-AS1,MFAP3L
AFAP1-AS1,MFI2
AFAP1-AS1,MMP14
AFAP1-AS1,MYEOV
AFAP1-AS1,MYLK
AFAP1-AS1,NEURL1B
AFAP1-AS1,NPTX2
AFAP1-AS1,NRP2
AFAP1-AS1,OPHN1
AFAP1-AS1,OPLAH
AFAP1-AS1,PADI2
AFAP1-AS1,PARD3
AFAP1-AS1,PCSK6
AFAP1-AS1,PDGFC
AFAP1-AS1,PF4V1
AFAP1-AS1,PRLR
AFAP1-AS1,PRTFDC1
AFAP1-AS1,PVRL2
AFAP1-AS1,RTEL1-TNFRSF6B
AFAP1-AS1,RUSC2
AFAP1-AS1,SAMD14
AFAP1-AS1,SASH1
AFAP1-AS1,SCARF1
AFAP1-AS1,SDC3
AFAP1-AS1,SERINC2
AFAP1-AS1,SERPINE1
AFAP1-AS1,SIRPB2
AFAP1-AS1,SLC24A3
AFAP1-AS1,SLC8A3
AFAP1-AS1,SLFN14
AFAP1-AS1,SLPI
AFAP1-AS1,STON2
AFAP1-AS1,SYCE3
AFAP1-AS1,TFPI
AFAP1-AS1,TMEM150B
AFAP1-AS1,TMPRSS13
AFAP1-AS1,TNFRSF21
AFAP1-AS1,TRAM2-AS1
AFAP1-AS1,TRPM4
AFAP1-AS1,TTC7B
AFAP1-AS1,VPREB1
AFAP1-AS1,WLS
AIRE,FAM46B
AK4,ALDH1A1
AK4,APCDD1
AK4,AQP1
AK4,AQP10
AK4,ARHGEF28
AK4,ASMT
AK4,BBS5
AK4,BCAS1
AK4,C10orf11
AK4,C15orf38
AK4,C17orf96
AK4,C1orf111
AK4,C22orf43
AK4,C2orf48
AK4,C8orf88
AK4,CCR8
AK4,CD1A
AK4,CHST13
AK4,CKM
AK4,CLCN4
AK4,CLDN22
AK4,CLDN23
AK4,CRB2
AK4,CTB-61M7.2
AK4,CTRC
AK4,CYP1B1-AS1
AK4,CYP27A1
AK4,CYP3A5
AK4,DLG5
AK4,DNAH12
AK4,DNAH7
AK4,DNAJB13
AK4,DNAJC28
AK4,DNTT
AK4,DOCK1
AK4,DTNA
AK4,DYRK3
AK4,ECM1
AK4,EPHB4
AK4,ESPL1
AK4,EVC2
AK4,FBN1
AK4,FCAR
AK4,FFAR4
AK4,FKBP9
AK4,GPR133
AK4,GPR63
AK4,GRIK4
AK4,GRIN2C
AK4,HCAR1
AK4,HCG20
AK4,HCN3
AK4,HHIP-AS1
AK4,HSPG2
AK4,ID3
AK4,IL17A
AK4,IL27
AK4,IQCD
AK4,IQSEC2
AK4,KCNH8
AK4,KCNK1
AK4,KCTD19
AK4,KIAA1257
AK4,KLHL14
AK4,KRT5
AK4,LDHC
AK4,LIF
AK4,LILRB5
AK4,LINC00610
AK4,LINC00677
AK4,LINC00968
AK4,LINC01036
AK4,LONRF2
AK4,LRRC3DN
AK4,LRRC48
AK4,LURAP1
AK4,MAK
AK4,MAPK8IP2
AK4,MMP9
AK4,MPRIP-AS1
AK4,MYO7A
AK4,NCS1
AK4,NLGN3
AK4,NODAL
AK4,NPIPA7
AK4,NRG1
AK4,NTSR1
AK4,NXN
AK4,OXER1
AK4,PAH
AK4,PCDH1
AK4,PDZD2
AK4,PKD1L1
AK4,PPFIA4
AK4,PRKCDBP
AK4,PTGR1
AK4,PTX3
AK4,RAB26
AK4,RAB44
AK4,RBMS3
AK4,RCVRN
AK4,RNF215
AK4,RTN4RL1
AK4,RUVBL1-AS1
AK4,SEMA3C
AK4,SERINC4
AK4,SEZ6
AK4,SIGLEC12
AK4,SIGLEC15
AK4,SLC1A3
AK4,SLC22A16
AK4,SLC32A1
AK4,SLC46A2
AK4,SLC4A3
AK4,SLC6A8
AK4,SLC6A9
AK4,SLCO5A1
AK4,SMIM10
AK4,SOGA2
AK4,STRIP2
AK4,STX16-NPEPL1
AK4,TAC3
AK4,THNSL2
AK4,TIGD4
AK4,TLR8
AK4,TMEM105
AK4,TNS3
AK4,TPD52L1
AK4,TRIM74
AK4,UCN
AK4,VASN
AK4,VEGFA
AK4,VEPH1
AK4,VNN3
ALDH1A1,APCDD1
ALDH1A1,AQP1
ALDH1A1,BBS5
ALDH1A1,C10orf11
ALDH1A1,C15orf38
ALDH1A1,C1orf111
ALDH1A1,C22orf43
ALDH1A1,CHST13
ALDH1A1,CRB2
ALDH1A1,CTB-61M7.2
ALDH1A1,CTRC
ALDH1A1,CYP1B1-AS1
ALDH1A1,CYP27A1
ALDH1A1,CYP3A5
ALDH1A1,DNAH12
ALDH1A1,DNAJC28
ALDH1A1,DNTT
ALDH1A1,DOCK1
ALDH1A1,ECM1
ALDH1A1,ESPL1
ALDH1A1,EVC2
ALDH1A1,FCAR
ALDH1A1,FFAR4
ALDH1A1,FKBP9
ALDH1A1,GPR133
ALDH1A1,GRIK4
ALDH1A1,GRIN2C
ALDH1A1,HCG20
ALDH1A1,HCN3
ALDH1A1,HHIP-AS1
ALDH1A1,HSPG2
ALDH1A1,ID3
ALDH1A1,IL17A
ALDH1A1,IL27
ALDH1A1,IQCD
ALDH1A1,IQSEC2
ALDH1A1,KCNH8
ALDH1A1,KCNK1
ALDH1A1,KRT5
ALDH1A1,LDHC
ALDH1A1,LIF
ALDH1A1,LINC00610
ALDH1A1,LINC01036
ALDH1A1,LONRF2
ALDH1A1,LRRC3DN
ALDH1A1,LURAP1
ALDH1A1,MAPK8IP2
ALDH1A1,MMP9
ALDH1A1,MPRIP-AS1
ALDH1A1,NCS1
ALDH1A1,NLGN3
ALDH1A1,NODAL
ALDH1A1,NPIPA7
ALDH1A1,NTSR1
ALDH1A1,OXER1
ALDH1A1,PAH
ALDH1A1,PKD1L1
ALDH1A1,RAB26
ALDH1A1,RBMS3
ALDH1A1,RCVRN
ALDH1A1,RNF215
ALDH1A1,RTN4RL1
ALDH1A1,RUVBL1-AS1
ALDH1A1,SERINC4
ALDH1A1,SEZ6
ALDH1A1,SIGLEC15
ALDH1A1,SLC1A3
ALDH1A1,SLC46A2
ALDH1A1,SLC4A3
ALDH1A1,SLC6A8
ALDH1A1,SLC6A9
ALDH1A1,SMIM10
ALDH1A1,STX16-NPEPL1
ALDH1A1,TAC3
ALDH1A1,THNSL2
ALDH1A1,TIGD4
ALDH1A1,TLR8
ALDH1A1,UCN
ALDH1A1,VASN
ALDH1A1,VEGFA
ALDH4A1,HPDL
ALDH4A1,LHX1
ALOX12,ARHGAP6
ALOX12,AURKC
ALOX12,AZU1
ALOX12,BEND2
ALOX12,C12orf39
ALOX12,C2orf88
ALOX12,C6orf25
ALOX12,CA2
ALOX12,CCDC135
ALOX12,CCDC170
ALOX12,CCNJL
ALOX12,CD36
ALOX12,CDC42EP1
ALOX12,CDKN2B
ALOX12,CEACAM3
ALOX12,CETP
ALOX12,CLEC1B
ALOX12,CLEC5A
ALOX12,CMTM5
ALOX12,CXCL5
ALOX12,DAB2
ALOX12,DGKG
ALOX12,DOCK5
ALOX12,ELANE
ALOX12,ENKUR
ALOX12,ESAM
ALOX12,F13A1
ALOX12,F2RL3
ALOX12,FADS2
ALOX12,FAM127C
ALOX12,FAXDC2
ALOX12,FRMD3
ALOX12,FSTL1
ALOX12,FZD2
ALOX12,GMPR
ALOX12,GNAZ
ALOX12,GP1BA
ALOX12,GP6
ALOX12,GPSM1
ALOX12,GUCY1B3
ALOX12,HBA1
ALOX12,HBG1
ALOX12,HBG2
ALOX12,HGD
ALOX12,ITGB3
ALOX12,ITGB5
ALOX12,JAG2
ALOX12,LEFTY1
ALOX12,LGALS12
ALOX12,LGALSL
ALOX12,LINC00989
ALOX12,LSMEM1
ALOX12,LY6G6F
ALOX12,M1AP
ALOX12,MAOB
ALOX12,MMP14
ALOX12,MYEOV
ALOX12,MYLK
ALOX12,NEURL1B
ALOX12,NEXN
ALOX12,OPHN1
ALOX12,PADI2
ALOX12,PARD3
ALOX12,PCSK6
ALOX12,PDE5A
ALOX12,PDGFA
ALOX12,PDGFC
ALOX12,PDZK1IP1
ALOX12,PF4V1
ALOX12,PNMT
ALOX12,PRKAR2B
ALOX12,PRLR
ALOX12,PRTFDC1
ALOX12,PTGS1
ALOX12,PTPRN
ALOX12,PVRL2
ALOX12,PYGL
ALOX12,RBPMS2
ALOX12,RGS6
ALOX12,S1PR3
ALOX12,SAMD14
ALOX12,SCARF1
ALOX12,SCGB1C1
ALOX12,SCN1B
ALOX12,SDC3
ALOX12,SELP
ALOX12,SEPT5
ALOX12,SERPINE1
ALOX12,SGMS2
ALOX12,SH3BGRL2
ALOX12,SLC24A3
ALOX12,SMOX
ALOX12,SPHK1
ALOX12,STON2
ALOX12,THBS1
ALOX12,TMEM40
ALOX12,TNFSF4
ALOX12,TNNC2
ALOX12,TNS1
ALOX12,TRIM58
ALOX12,TTC7B
ALOX12,VPREB1
ALOX12,WDR17
ANKRD9,CHST8
ANKRD9,MITF
ANKRD9,TNS1
ANKRD9,TRAPPC3L
APCDD1,C22orf43
APCDD1,CYP1B1-AS1
APCDD1,CYP3A5
APCDD1,DNAH12
APCDD1,DNAJC28
APCDD1,DNTT
APCDD1,ECM1
APCDD1,ESPL1
APCDD1,EVC2
APCDD1,FCAR
APCDD1,FKBP9
APCDD1,GRIK4
APCDD1,GRIN2C
APCDD1,HSPG2
APCDD1,ID3
APCDD1,IL27
APCDD1,IQSEC2
APCDD1,KCNH8
APCDD1,KCNK1
APCDD1,LDHC
APCDD1,LONRF2
APCDD1,MMP9
APCDD1,MPRIP-AS1
APCDD1,NCS1
APCDD1,NPIPA7
APCDD1,NTSR1
APCDD1,PKD1L1
APCDD1,RFPL4A
APCDD1,SERINC4
APCDD1,SIGLEC15
APCDD1,SLC4A3
APCDD1,TAC3
APCDD1,THNSL2
APCDD1,TIGD4
APCDD1,TLR8
APCDD1,VEGFA
AQP1,AQP10
AQP1,ARHGEF28
AQP1,ASMT
AQP1,BBS5
AQP1,BCAS1
AQP1,C15orf38
AQP1,C17orf96
AQP1,C1orf111
AQP1,C22orf43
AQP1,C2orf48
AQP1,C8orf88
AQP1,CCR8
AQP1,CD1A
AQP1,CD207
AQP1,CHST13
AQP1,CKM
AQP1,CLCN4
AQP1,CLDN22
AQP1,CLDN23
AQP1,CRB2
AQP1,CTB-61M7.2
AQP1,CTRC
AQP1,CYP1B1-AS1
AQP1,CYP27A1
AQP1,CYP3A5
AQP1,DLG5
AQP1,DNAH12
AQP1,DNAH7
AQP1,DNAJB13
AQP1,DNAJC28
AQP1,DNTT
AQP1,DOCK1
AQP1,DTNA
AQP1,DYRK3
AQP1,ECM1
AQP1,EPHB4
AQP1,ESPL1
AQP1,EVC2
AQP1,FAM20C
AQP1,FBN1
AQP1,FCAR
AQP1,FFAR4
AQP1,FKBP9
AQP1,GPR133
AQP1,GPR63
AQP1,GRIK4
AQP1,GRIN2C
AQP1,HCAR1
AQP1,HCG20
AQP1,HCN3
AQP1,HHIP-AS1
AQP1,HSPG2
AQP1,IL17A
AQP1,IL27
AQP1,IQCD
AQP1,IQSEC2
AQP1,JADE3
AQP1,KCNH8
AQP1,KCNK1
AQP1,KCTD19
AQP1,KIAA1257
AQP1,KLHL14
AQP1,KRT5
AQP1,LIF
AQP1,LILRB5
AQP1,LINC00610
AQP1,LINC00677
AQP1,LINC00968
AQP1,LINC01036
AQP1,LONRF2
AQP1,LRFN4
AQP1,LRRC3DN
AQP1,LRRC48
AQP1,LURAP1
AQP1,MAK
AQP1,MAPK8IP2
AQP1,MMP9
AQP1,MPP3
AQP1,MPPED2
AQP1,MPRIP-AS1
AQP1,MYO7A
AQP1,NCS1
AQP1,NLGN3
AQP1,NODAL
AQP1,NPIPA7
AQP1,NRG1
AQP1,NXN
AQP1,OXER1
AQP1,PAH
AQP1,PCDH1
AQP1,PDZD2
AQP1,PKD1L1
AQP1,PPFIA4
AQP1,PRKCDBP
AQP1,PTGR1
AQP1,PTX3
AQP1,RAB26
AQP1,RAB44
AQP1,RAPGEFL1
AQP1,RBMS3
AQP1,RCVRN
AQP1,RNF215
AQP1,RTN4RL1
AQP1,RUVBL1-AS1
AQP1,SEMA3C
AQP1,SERINC4
AQP1,SEZ6
AQP1,SIGLEC12
AQP1,SIGLEC15
AQP1,SLC1A3
AQP1,SLC22A16
AQP1,SLC32A1
AQP1,SLC46A2
AQP1,SLC4A3
AQP1,SLC6A8
AQP1,SLC6A9
AQP1,SLCO5A1
AQP1,SMIM10
AQP1,SOGA2
AQP1,STRIP2
AQP1,STX16-NPEPL1
AQP1,TAC3
AQP1,THNSL2
AQP1,TIGD4
AQP1,TLR8
AQP1,TMEM105
AQP1,TNS3
AQP1,TPD52L1
AQP1,TRIM74
AQP1,UCN
AQP1,VASN
AQP1,VEGFA
AQP1,VEPH1
AQP1,VIT
AQP1,VNN3
AQP10,ARHGEF28
AQP10,ASMT
AQP10,BBS5
AQP10,BCAS1
AQP10,C15orf38
AQP10,C17orf96
AQP10,C1orf111
AQP10,C22orf43
AQP10,C2orf48
AQP10,C8orf88
AQP10,CCR8
AQP10,CD1A
AQP10,CHST13
AQP10,CKM
AQP10,CLCN4
AQP10,CLDN22
AQP10,CLDN23
AQP10,CRB2
AQP10,CTB-61M7.2
AQP10,CTRC
AQP10,CYP1B1-AS1
AQP10,CYP27A1
